Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
2457,8884,0.138,2.722,0.234,1,6.449,6.917,6.842,7.421,6.663,7.162,6.663,7.162,0.262,0.189,69.4,1.388,0.189,0.727,0.583,76.339,6.64,7.178,0.565,0.437,61.742,0.595,1.02,6.673,7.209,0.138,-0.903,2.16
2581,2527,0.039,1.122,0.391,1,7.492,7.756,7.228,7.457,7.633,7.364,7.633,7.364,0.138,0.111,11.172,1.239,0.051,0.762,0.319,39.987,7.623,7.343,0.261,0.226,178.264,0.318,0.999,7.653,7.37,0.083,-0.932,1.924
36,2508,0.037,0.83,0.666,1,0.408,0.622,0.286,0.557,0.508,0.416,0.508,0.416,0.134,0.101,64.582,1.329,0.04,0.902,0.289,67.496,0.499,0.412,0.26,0.206,34.695,0.286,0.987,0.511,0.427,0.092,-0.912,1.559
26,2950,0.043,1.076,0.467,1,1.076,1.324,0.153,0.435,1.196,0.306,1.196,0.306,0.141,0.118,-45.375,1.195,0.054,0.796,0.334,128.967,1.201,0.302,0.277,0.242,165.203,0.337,1.009,1.198,0.305,0.084,-0.923,2.005
35,2964,0.043,0.934,0.621,1,1.431,1.683,0.282,0.546,1.559,0.417,1.559,0.417,0.13,0.119,62.158,1.096,0.049,0.885,0.267,99.058,1.572,0.42,0.254,0.24,37.304,0.273,1.022,1.557,0.42,0.095,-0.901,1.428
122,3176,0.046,1.009,0.571,1,1.286,1.645,1.301,1.53,1.487,1.404,1.487,1.404,0.171,0.102,-4.443,1.668,0.055,0.84,0.363,171.529,1.473,1.425,0.352,0.22,156.038,0.37,1.021,1.507,1.393,0.092,-0.915,2.021
98,5408,0.079,1.463,0.462,1,1.595,1.973,1.099,1.462,1.776,1.265,1.776,1.265,0.184,0.152,-33.676,1.205,0.096,0.822,0.392,164.745,1.775,1.265,0.359,0.338,119.745,0.399,1.019,1.767,1.267,0.118,-0.898,1.687
107,10768,0.157,2.163,0.421,1,1.977,2.45,1.183,1.706,2.204,1.474,2.204,1.474,0.261,0.208,51.66,1.253,0.186,0.843,0.557,65.719,2.211,1.441,0.547,0.46,76.701,0.556,0.998,2.233,1.511,0.168,-0.873,1.655
90,6140,0.089,1.604,0.437,1,2.275,2.752,1.0,1.32,2.504,1.155,2.504,1.155,0.226,0.142,11.417,1.591,0.11,0.813,0.492,14.359,2.518,1.147,0.489,0.305,7.4,0.502,1.02,2.515,1.137,0.126,-0.891,1.994
105,10643,0.155,2.067,0.456,1,2.538,2.935,1.175,1.881,2.748,1.554,2.748,1.554,0.31,0.182,-83.306,1.702,0.195,0.794,0.707,86.906,2.736,1.526,0.704,0.388,92.603,0.724,1.025,2.729,1.561,0.16,-0.859,2.26
30,3839,0.056,1.069,0.615,1,2.412,2.752,0.195,0.462,2.57,0.323,2.57,0.323,0.181,0.111,13.856,1.622,0.063,0.886,0.343,171.69,2.571,0.336,0.336,0.218,18.435,0.35,1.021,2.507,0.305,0.092,-0.901,1.913
62,7160,0.104,1.463,0.613,1,2.542,2.977,0.511,0.859,2.749,0.684,2.749,0.684,0.209,0.17,1.577,1.23,0.119,0.878,0.445,11.889,2.759,0.688,0.437,0.345,1.614,0.442,0.994,2.767,0.679,0.145,-0.865,1.524
122,3176,0.046,1.009,0.571,1,1.286,1.645,1.301,1.53,1.487,1.404,1.487,1.404,0.171,0.102,-4.443,1.668,0.055,0.84,0.363,171.529,1.473,1.425,0.352,0.22,156.038,0.37,1.021,1.507,1.393,0.092,-0.915,2.021
98,5408,0.079,1.463,0.462,1,1.595,1.973,1.099,1.462,1.776,1.265,1.776,1.265,0.184,0.152,-33.676,1.205,0.096,0.822,0.392,164.745,1.775,1.265,0.359,0.338,119.745,0.399,1.019,1.767,1.267,0.118,-0.898,1.687
107,10768,0.157,2.163,0.421,1,1.977,2.45,1.183,1.706,2.204,1.474,2.204,1.474,0.261,0.208,51.66,1.253,0.186,0.843,0.557,65.719,2.211,1.441,0.547,0.46,76.701,0.556,0.998,2.233,1.511,0.168,-0.873,1.655
90,6140,0.089,1.604,0.437,1,2.275,2.752,1.0,1.32,2.504,1.155,2.504,1.155,0.226,0.142,11.417,1.591,0.11,0.813,0.492,14.359,2.518,1.147,0.489,0.305,7.4,0.502,1.02,2.515,1.137,0.126,-0.891,1.994
105,10643,0.155,2.067,0.456,1,2.538,2.935,1.175,1.881,2.748,1.554,2.748,1.554,0.31,0.182,-83.306,1.702,0.195,0.794,0.707,86.906,2.736,1.526,0.704,0.388,92.603,0.724,1.025,2.729,1.561,0.16,-0.859,2.26
142,6213,0.09,1.44,0.549,1,2.851,3.301,1.5,1.897,3.082,1.703,3.082,1.703,0.194,0.171,18.228,1.136,0.108,0.836,0.467,17.103,3.117,1.722,0.425,0.349,41.634,0.475,1.016,3.08,1.694,0.134,-0.878,1.777
