Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1322,2730,0.043,1.431,0.266,1,4.829,5.191,2.94,3.187,5.055,3.075,5.055,3.075,0.157,0.116,-3.3,1.352,0.061,0.708,0.366,171.87,5.011,3.06,0.361,0.243,2.545,0.376,1.027,5.052,3.056,0.08,-0.938,2.36
1316,1606,0.025,1.231,0.211,1,5.47,5.725,2.928,3.299,5.587,3.153,5.587,3.153,0.152,0.086,-61.043,1.757,0.051,0.503,0.372,107.464,5.612,3.131,0.371,0.184,109.699,0.379,1.021,5.594,3.135,0.056,-0.96,3.401
1447,3106,0.049,2.0,0.155,1,4.474,4.841,3.155,3.526,4.672,3.354,4.672,3.354,0.193,0.118,-25.453,1.632,0.096,0.514,0.475,129.56,4.687,3.376,0.421,0.32,159.057,0.482,1.014,4.645,3.363,0.076,-0.949,3.185
1967,2477,0.039,1.091,0.415,1,6.207,6.526,4.327,4.546,6.389,4.444,6.389,4.444,0.151,0.1,-13.817,1.512,0.048,0.812,0.323,170.77,6.367,4.435,0.315,0.214,5.194,0.33,1.022,6.414,4.442,0.08,-0.928,2.07
1290,1772,0.028,1.023,0.338,1,4.749,5.004,2.873,3.096,4.882,2.981,4.882,2.981,0.13,0.093,35.051,1.396,0.037,0.77,0.282,25.115,4.862,2.994,0.276,0.196,13.449,0.28,0.993,4.9,2.984,0.064,-0.947,2.194
1322,2730,0.043,1.431,0.266,1,4.829,5.191,2.94,3.187,5.055,3.075,5.055,3.075,0.157,0.116,-3.3,1.352,0.061,0.708,0.366,171.87,5.011,3.06,0.361,0.243,2.545,0.376,1.027,5.052,3.056,0.08,-0.938,2.36
1381,3863,0.061,1.387,0.401,1,5.072,5.518,3.056,3.283,5.317,3.183,5.317,3.183,0.209,0.108,-3.834,1.925,0.075,0.814,0.456,168.395,5.295,3.169,0.446,0.227,0.0,0.465,1.022,5.347,3.171,0.088,-0.912,2.655
1316,1606,0.025,1.231,0.211,1,5.47,5.725,2.928,3.299,5.587,3.153,5.587,3.153,0.152,0.086,-61.043,1.757,0.051,0.503,0.372,107.464,5.612,3.131,0.371,0.184,109.699,0.379,1.021,5.594,3.135,0.056,-0.96,3.401
1447,3106,0.049,2.0,0.155,1,4.474,4.841,3.155,3.526,4.672,3.354,4.672,3.354,0.193,0.118,-25.453,1.632,0.096,0.514,0.475,129.56,4.687,3.376,0.421,0.32,159.057,0.482,1.014,4.645,3.363,0.076,-0.949,3.185
1660,741,0.012,0.709,0.294,1,5.052,5.207,3.522,3.709,5.126,3.598,5.126,3.598,0.108,0.062,50.758,1.762,0.018,0.653,0.22,58.325,5.144,3.609,0.206,0.115,34.992,0.219,0.996,5.096,3.562,0.036,-0.966,3.056
