Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
94,559,559,98.772,0.720,1,199,229,263,290,212.731,276.600,212.731,276.600,15.604,12.179,21.774,1.281,632,0.884,33.615,30.379,214.240,276.320,31.113,25.456,8.130,33.414,0.994,209,273,10,12.527,1.671
95,311,311,74.908,0.696,1,476,494,263,292,486.622,277.661,486.622,277.661,13.017,8.020,-80.199,1.623,349,0.891,29.614,101.689,486.300,277.600,29.409,17.393,108.435,30.414,1.027,488,274,8,8.980,1.901
96,5,5,8.045,0.971,1,96,99,266,269,97.500,267.500,97.500,267.500,1.390,1.390,0.000,1.000,5,1.000,3.162,71.565,97.500,267.500,2.828,2.828,45.000,3.414,1.080,97,266,1,1.667,1.707
97,477,477,100.248,0.596,1,0,25,268,303,13.640,287.617,13.640,287.617,15.622,10.578,-74.850,1.477,592,0.806,35.128,94.899,12.500,285.500,35.000,25.000,90.000,35.814,1.020,15,285,9,9.417,1.990
98,801,801,150.047,0.447,1,160,197,269,313,176.411,291.798,176.411,291.798,21.295,14.708,55.518,1.448,1025,0.781,46.957,63.435,172.934,292.918,41.644,33.862,27.979,47.214,1.005,179,291,9,9.874,2.623
99,714,714,130.816,0.524,1,185,227,288,317,206.115,303.633,206.115,303.633,18.098,14.515,-28.747,1.247,904,0.790,42.579,170.538,206.000,302.500,42.000,29.000,0.000,43.614,1.024,206,305,11,10.810,1.982
100,205,205,82.397,0.379,1,324,352,292,311,339.388,301.305,339.388,301.305,12.481,8.312,-7.321,1.502,317,0.647,29.120,164.055,340.101,303.904,29.116,18.177,163.072,29.814,1.024,337,300,5,4.537,2.981
101,219,219,80.597,0.424,1,359,380,293,320,372.473,308.874,372.473,308.874,16.681,6.467,-60.491,2.579,323,0.678,31.623,124.695,372.808,308.915,31.622,14.835,124.287,33.814,1.069,374,305,4,5.108,4.227
102,142,142,46.427,0.828,1,0,13,301,316,5.204,308.225,5.204,308.225,7.927,6.237,-64.242,1.271,149,0.953,17.692,132.709,6.500,308.500,15.000,13.000,90.000,17.614,0.996,0,308,7,7.800,1.258
103,537,537,125.913,0.426,1,190,234,318,347,210.614,330.221,210.614,330.221,17.929,12.233,-14.350,1.466,771,0.696,44.553,170.961,210.174,329.579,41.022,28.302,147.995,45.414,1.019,210,325,8,8.174,2.838
